dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high
paper_captured,key_only_random,2.5,2.5,decode_seconds,4,0.008763199999520976,0.006382921645461546,0.003191460822730773,-0.001393452704236275,0.018919852703278228
paper_captured,key_only_random,2.5,2.5,hidden_cosine_similarity,4,0.9990234375,0.001953125,0.0009765625,0.9959155797799963,1.0021312952200037
paper_captured,key_only_random,2.5,2.5,hidden_mae,4,0.00980377197265625,0.0032072387230160167,0.0016036193615080083,0.0047003394605436705,0.01490720448476883
paper_captured,key_only_random,2.5,2.5,hidden_mse,4,0.0007776021957397,0.000471849643531379,0.0002359248217656895,2.6784118386764225e-05,0.0015284202730926357
paper_captured,key_only_random,2.5,2.5,logit_cosine_similarity,4,0.998046875,0.0022552744890219755,0.0011276372445109878,0.9944582300175057,1.0016355199824942
paper_captured,key_only_random,2.5,2.5,logit_mae,4,11.234375,0.9847469535367956,0.4923734767683978,9.667422848038719,12.801327151961281
paper_captured,key_only_random,2.5,2.5,logit_mse,4,196.75,34.49033681095813,17.245168405479063,141.8681775239878,251.6318224760122
paper_captured,key_only_random,2.5,2.5,logit_spearman,4,0.9836355447769165,0.003216463912690853,0.0016082319563454266,0.9785174329294059,0.9887536566244272
paper_captured,key_only_random,2.5,2.5,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,2.5,2.5,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,2.5,2.5,logit_top5_overlap,4,0.8468750268220901,0.02771698357191034,0.01385849178595517,0.8027711208410725,0.8909789328031078
paper_captured,key_only_random,2.5,2.5,memory_bits,4,343392.0,97619.80651486665,48809.903257433325,188057.1037171261,498726.89628287393
paper_captured,key_only_random,2.5,2.5,memory_ratio_vs_exact,4,0.57421875,0.0,0.0,0.57421875,0.57421875
paper_captured,key_only_random,2.5,2.5,next_logit_kl,4,-1.6464309339057908e-20,3.4210685687455803e-20,1.7105342843727902e-20,-7.090114447269088e-20,3.7972525794575064e-20
paper_captured,key_only_random,2.5,2.5,peak_vram_mb,4,0.0,0.0,0.0,0.0,0.0
paper_captured,key_only_random,2.5,2.5,prefill_seconds,4,0.04049567499896505,0.02059200311925255,0.010296001559626275,0.0077292028763371184,0.07326214712159299
paper_captured,key_only_random,3,3.0,attention_output_relative_error,4,0.023590087890625,0.0075297859583893555,0.0037648929791946778,0.011608518139198326,0.035571657642051675
paper_captured,key_only_random,3,3.0,decode_seconds,4,0.0106447750040388,0.011707349040987693,0.0058536745204938465,-0.007984229846040223,0.02927377985411782
paper_captured,key_only_random,3,3.0,hidden_cosine_similarity,4,0.998046875,0.0022552744890219755,0.0011276372445109878,0.9944582300175057,1.0016355199824942
paper_captured,key_only_random,3,3.0,hidden_mae,4,0.00696563720703125,0.00112056042283552,0.00056028021141776,0.005182575518281225,0.008748698895781275
paper_captured,key_only_random,3,3.0,hidden_mse,4,0.000374317169189425,0.00029702579161728086,0.00014851289580864043,-9.831714736376702e-05,0.000846951485742617
paper_captured,key_only_random,3,3.0,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,3,3.0,logit_mae,4,8.765625,0.4983697380794036,0.2491848690397018,7.972607534191996,9.558642465808003
paper_captured,key_only_random,3,3.0,logit_mse,4,122.5,14.548768561863463,7.274384280931732,99.34966262193493,145.65033737806507
paper_captured,key_only_random,3,3.0,logit_spearman,4,0.9883206486701965,0.0020477335395041986,0.0010238667697520993,0.9850622476516963,0.9915790496886968
paper_captured,key_only_random,3,3.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,3,3.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0
paper_captured,key_only_random,3,3.0,logit_top5_overlap,4,0.8843750208616257,0.04827763906060027,0.024138819530300136,0.8075545238335118,0.9611955178897396
