dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,capture_id,prompt_label,prompt_hash,model_id,query_source,eval_device
captured,0,0,key_only_block_so8_learned,4,4.0,1.0,5.8125,50.25,0.9928359389305115,1.0,1.0,0.9750000238418579,0.9921875,0.003662109375,8.7738037109375e-05,247296.0,0.62890625,0.01021279999986291,0.003726099996129051,17.34521484375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,4,4.0,1.0,5.8125,50.25,0.9928359389305115,1.0,1.0,0.9750000238418579,1.0,0.04638671875,0.0038604736328125,127616.0,0.3245442708333333,0.018498899997211993,0.0023514000058639795,17.36083984375,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,4,4.0,1.0,5.8125,50.25,0.9928359389305115,1.0,1.0,0.9750000238418579,1.0,0.0458984375,0.003692626953125,130688.0,0.3323567708333333,0.02883859998837579,0.006038500010618009,20.873046875,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,4,4.0,1.0,4.5,32.0,0.9945651888847351,1.0,1.0,0.949999988079071,0.9921875,0.05517578125,0.005096435546875,100608.0,0.255859375,0.0191047999978764,0.003378100009285845,17.3798828125,explain-359133ba,explain,359133bab8404030a172f8efff97876f8565184962bf2f2677de73be054779c6,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,exact,exact,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,753664.0,1.0,0.0005584000027738512,0.0013257999962661415,16.3681640625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,2,2.0,0.99609375,13.875,324.0,0.9704380035400391,1.0,1.0,0.7625000476837158,0.99609375,0.01220703125,0.00098419189453125,426880.0,0.56640625,0.009146099997451529,0.0035604000004241243,17.869140625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_static,2,2.0,1.0,16.625,414.0,0.969861626625061,1.0,1.0,0.7375000715255737,1.0,0.01220703125,0.0013275146484375,426880.0,0.56640625,0.00941189999866765,0.003073900006711483,17.869140625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_block_so8_learned,2,2.0,0.99609375,17.125,476.0,0.9718543291091919,1.0,1.0,0.7625000476837158,0.99609375,0.009033203125,0.000324249267578125,426880.0,0.56640625,0.005636200003209524,0.0024433999933535233,17.8720703125,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v,2,2.0,0.99609375,17.125,476.0,0.9718543291091919,1.0,1.0,0.7625000476837158,0.953125,0.1796875,0.0615234375,153296.0,0.20340098505434784,0.0163027999951737,0.002620700004626997,17.89892578125,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,protected_v_lowrank,2,2.0,0.99609375,17.125,476.0,0.9718543291091919,1.0,1.0,0.7625000476837158,0.96484375,0.166015625,0.048583984375,159184.0,0.21121348505434784,0.034446500008925796,0.002510000005713664,21.20947265625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,full_kv,2,2.0,0.99609375,13.875,324.0,0.9704380035400391,1.0,1.0,0.7625000476837158,0.94140625,0.2177734375,0.0830078125,98624.0,0.130859375,0.016979099993477575,0.003828500004601665,17.939453125,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
captured,0,0,key_only_random,2.5,2.5,1.0,12.0625,238.0,0.9746705293655396,1.0,1.0,0.7875000238418579,1.0,0.01055908203125,0.00048828125,432768.0,0.57421875,0.015018599995528348,0.004819499998120591,17.67822265625,reasoning-30ae1199,reasoning,30ae119902afb94a1eec462127d49b5709480c490c445bbdfd034ca15a224192,H:\Qwen3.5-9B-official-hf,captured,cuda
