layer,bits,bit_setting,view,mode,rotation_path,rotation_seed,qjl_seed
3,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_4_spinor_plus_proxy.pt,76683,76737
3,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_4_spinor_minus_proxy.pt,76940,76994
3,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_8_vector.pt,76826,76880
3,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_8_spinor_plus_proxy.pt,77083,77137
3,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_03_bits_8_spinor_minus_proxy.pt,77340,77394
4,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_2_vector.pt,78229,78283
4,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_2_spinor_plus_proxy.pt,78486,78540
4,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_2_spinor_minus_proxy.pt,78743,78797
4,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_2.5_vector.pt,78279,78333
4,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_2.5_spinor_plus_proxy.pt,78536,78590
4,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_2.5_spinor_minus_proxy.pt,78793,78847
4,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_3_vector.pt,78329,78383
4,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_3_spinor_plus_proxy.pt,78586,78640
4,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_3_spinor_minus_proxy.pt,78843,78897
4,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_3.5_vector.pt,78379,78433
4,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_3.5_spinor_plus_proxy.pt,78636,78690
4,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_3.5_spinor_minus_proxy.pt,78893,78947
4,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_4_vector.pt,78429,78483
4,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_4_spinor_plus_proxy.pt,78686,78740
4,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_4_spinor_minus_proxy.pt,78943,78997
4,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_8_vector.pt,78829,78883
4,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_8_spinor_plus_proxy.pt,79086,79140
4,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_04_bits_8_spinor_minus_proxy.pt,79343,79397
5,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_2_vector.pt,80232,80286
5,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_2_spinor_plus_proxy.pt,80489,80543
5,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_2_spinor_minus_proxy.pt,80746,80800
5,2.5,2.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_2.5_vector.pt,80282,80336
5,2.5,2.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_2.5_spinor_plus_proxy.pt,80539,80593
5,2.5,2.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_2.5_spinor_minus_proxy.pt,80796,80850
5,3.0,3,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_3_vector.pt,80332,80386
5,3.0,3,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_3_spinor_plus_proxy.pt,80589,80643
5,3.0,3,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_3_spinor_minus_proxy.pt,80846,80900
5,3.5,3.5,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_3.5_vector.pt,80382,80436
5,3.5,3.5,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_3.5_spinor_plus_proxy.pt,80639,80693
5,3.5,3.5,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_3.5_spinor_minus_proxy.pt,80896,80950
5,4.0,4,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_4_vector.pt,80432,80486
5,4.0,4,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_4_spinor_plus_proxy.pt,80689,80743
5,4.0,4,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_4_spinor_minus_proxy.pt,80946,81000
5,8.0,8,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_8_vector.pt,80832,80886
5,8.0,8,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_8_spinor_plus_proxy.pt,81089,81143
5,8.0,8,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_05_bits_8_spinor_minus_proxy.pt,81346,81400
6,2.0,2,vector,key_only_block_so8_triality_vector,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_2_vector.pt,82235,82289
6,2.0,2,spinor_plus_proxy,key_only_block_so8_triality_plus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_2_spinor_plus_proxy.pt,82492,82546
6,2.0,2,spinor_minus_proxy,key_only_block_so8_triality_minus,artifacts/research_extension/triality_full_train_prod_bf16/rotations/layer_06_bits_2_spinor_minus_proxy.pt,82749,82803
